0	883
1	993
2	971
3	964
4	982
5	1005
6	1013
7	932
8	1010
9	863
10	897
11	886
12	988
13	983
14	896
15	952
16	987
17	971
18	925
19	955
20	892
21	914
22	901
23	927
24	1002
25	1000
26	955
27	962
28	922
29	966
30	986
31	965
32	1088
33	1063
34	1066
35	1043
36	1064
37	1067
38	1083
39	1096
40	1053
41	1064
42	1021
43	1054
44	1010
45	1061
46	1035
47	1078
48	1075
49	1063
50	1127
51	1111
52	1130
53	1049
54	1050
55	1070
56	1099
57	1051
58	1095
59	1045
60	1087
61	1102
62	1109
63	1101
64	1041
65	1091
66	1068
67	1106
68	1068
69	1089
70	1145
71	1043
72	1082
73	1029
74	1046
75	994
76	1040
77	1016
78	1089
79	1026
80	1051
81	1070
82	1036
83	1093
84	1005
85	1061
86	998
87	1061
88	990
89	1077
90	1057
91	1044
92	1028
93	1066
94	1068
95	993
96	918
97	920
98	950
99	915
100	954
101	1019
102	980
103	1022
104	909
105	906
106	930
107	960
108	957
109	1001
110	987
111	1045
112	916
113	955
114	959
115	994
116	882
117	849
118	928
119	956
120	958
121	983
122	992
123	924
124	992
125	969
126	909
127	919
128	1052
129	1045
130	1137
131	1013
132	1133
133	1057
134	1097
135	1062
136	1083
137	1065
138	1051
139	1086
140	1086
141	1019
142	1073
143	1076
144	1068
145	1038
146	1060
147	1111
148	1025
149	1015
150	1067
151	1099
152	1086
153	998
154	999
155	950
156	1049
157	1047
158	1052
159	1078
160	1016
161	988
162	1006
163	1092
164	1023
165	1005
166	941
167	1039
168	994
169	1095
170	1006
171	1076
172	1027
173	1066
174	1042
175	1053
176	1021
177	1005
178	993
179	1020
180	1054
181	1026
182	1035
183	1067
184	1006
185	1044
186	1028
187	1026
188	1034
189	1031
190	1026
191	1086
192	954
193	936
194	969
195	1002
196	985
197	1065
198	1003
199	1002
200	967
201	935
202	1031
203	1009
204	1026
205	1033
206	997
207	1017
208	1073
209	1068
210	1033
211	1022
212	1035
213	1070
214	985
215	983
216	1035
217	966
218	981
219	973
220	1031
221	1042
222	1058
223	1025
224	1081
225	1041
226	1083
227	1094
228	1026
229	1119
230	1062
231	1063
232	1053
233	1047
234	1111
235	1048
236	1059
237	1109
238	1074
239	1109
240	1095
241	1080
242	1067
243	1161
244	1024
245	1028
246	1069
247	1050
248	1037
249	1104
250	1018
251	1084
252	1007
253	1051
254	1020
255	1024
